color,keyword,camera,Nation1,Num1,Nation2,Num2,Nation3,Num3,Nation4,Num4,Nation5,Num5,nation1ratio,nation2ratio,nation3ratio,nation4ratio,nation5ratio,sum
black,sky,canon,United States,16,Switzerland,2,Italy,2,Germany,2,New Zealand,2,0.1571874678058393,0.19127148505965655,0.10948951831685945,0.12364515524964603,0.4184063735679986,0.04267894560224893
black,sky,nikon,United States,14,Brazil,3,Canada,2,Germany,2,Australia,2,0.12545872734365962,0.5388098404224997,0.09759264993953952,0.11278517328105095,0.12535360901325018,0.04678846253781359
black,sky,sony,United States,4,Canada,2,Iceland,2,Morocco,1,Germany,1,0.02620890472208023,0.07135643580155406,0.11705662502277407,0.7441456876447781,0.04123234680881356,0.06399156564323037
black,forest,canon,United States,17,Italy,7,Germany,5,Costa Rica,2,South Africa,2,0.04707671676838811,0.1080189371149312,0.08713174723933388,0.574311864412305,0.18346073446504188,0.15140993444060796
black,forest,nikon,United States,14,Canada,2,United Kingdom,2,Germany,1,Switzerland,1,0.26836384652727635,0.2087566125138793,0.21564951953084704,0.12062717187477459,0.18660284955322276,0.021873367222600016
black,forest,sony,United States,7,Iceland,1,United Kingdom,1,Poland,1,Germany,1,0.08783124858675942,0.1120800042158487,0.07057868190007453,0.6505513288180783,0.07895873647923905,0.0334164722625012
gray,nature,canon,United States,52,Italy,28,Canada,6,Switzerland,6,Iceland,4,0.1552990867972362,0.46598099462254816,0.097573319813332,0.17443720031934457,0.10670939844753913,0.14039319522173907
gray,nature,nikon,United States,24,Italy,9,Australia,7,United Kingdom,5,Canada,5,0.13448253076035116,0.281022928618666,0.2743384470972706,0.15759671573478654,0.15255937778892575,0.07482676764681916
gray,nature,sony,United States,17,Germany,8,France,5,Canada,4,Switzerland,4,0.10065029180217235,0.2980610845235835,0.2417918472483693,0.12895565186579697,0.23054112456007786,0.07081830039390775
gray,flower,canon,United States,17,Italy,3,Austria,2,Russia,2,Germany,2,0.14852437280795244,0.14605441003860634,0.2422918120020291,0.35317111579956784,0.10995828935184435,0.047991332767971566
gray,flower,nikon,United States,8,United Kingdom,3,Germany,3,Romania,2,France,2,0.05564309492129509,0.11737215334960684,0.1313081610032541,0.5820560587161789,0.11362053200966506,0.060282371041094206
gray,flower,sony,United States,2,Chile,1,Australia,1,Iceland,1,Belgium,1,0.010549945087855627,0.3812366520384193,0.036893869552105094,0.047119136768793396,0.5242003965528265,0.07948614106488508
gray,mountain,canon,Italy,31,United States,12,Switzerland,8,Iceland,2,Canada,2,0.5928555203186435,0.04118355247658826,0.26727285076643,0.06131259217020163,0.037375484268136604,0.12217126105720832
gray,mountain,nikon,Italy,9,United States,8,Canada,2,New Zealand,2,Switzerland,1,0.4132274429390158,0.06591617817951037,0.08973178365190197,0.3509153682101166,0.08020922701945524,0.050887320632964084
gray,mountain,sony,United States,4,Italy,3,Switzerland,2,Iceland,2,Germany,1,0.06216516095574124,0.2598082515410798,0.302579405876414,0.2776477694371589,0.09779941218960611,0.026978919079035622
gray,sea,canon,United States,13,Australia,3,United Kingdom,2,New Zealand,2,Switzerland,2,0.12116571314937657,0.19556523293115036,0.10485494407157588,0.39695085969953725,0.18146325014835993,0.044985777006905606
gray,sea,nikon,United States,9,United Kingdom,3,Russia,2,Australia,2,Italy,2,0.09843396115305224,0.18456367716197294,0.44211863907726856,0.15299120061911345,0.12189252198859273,0.03833620898170434
gray,sea,sony,Canada,3,United States,3,Australia,2,Mexico,1,United Kingdom,1,0.24959349774389616,0.04583729644101741,0.21372815642585832,0.4048961185623205,0.08594493082690764,0.02744188102015831
gray,sky,canon,United States,14,France,3,Canada,2,Russia,1,Philippines,1,0.08484555380832332,0.14850047394778698,0.06600021064346089,0.12249191636371132,0.5781618452367174,0.06918477988394886
gray,sky,nikon,United States,13,Iran,2,Canada,2,Thailand,2,Brazil,2,0.04329715591143254,0.3055139551738657,0.036271063171326515,0.48141592936487926,0.1335018963784959,0.12589126555495736
gray,sky,sony,Canada,2,Spain,2,United Kingdom,2,United States,2,France,1,0.15454358128992376,0.5415207088398929,0.15964643538911935,0.02838158851362122,0.11590768596744282,0.02954642313546423
gray,forest,canon,United States,17,Italy,12,Austria,3,Switzerland,3,Costa Rica,2,0.04695310501406561,0.18468909641321576,0.1148937983500819,0.08066013598454728,0.5728038642380895,0.15180854594058119
gray,forest,nikon,United States,6,Canada,3,United Kingdom,3,New Zealand,2,Germany,1,0.06811000999789561,0.18543649982303773,0.19155940311908143,0.4834594459672055,0.07143464109277971,0.0369361753216301
gray,forest,sony,United States,4,Germany,4,Switzerland,3,Iceland,1,United Kingdom,1,0.054844729876307285,0.3451310837862609,0.40042249210712105,0.12247629284175364,0.07712540138855713,0.030579945434004035
darkgray,nature,canon,United States,43,Italy,32,Canada,10,Austria,8,Iceland,7,0.09571973953016914,0.39694254080322255,0.12121247678637219,0.24693518526712102,0.13919005761311504,0.18835561184471544
darkgray,nature,nikon,United States,31,United Kingdom,6,Iceland,5,Australia,5,Switzerland,4,0.16910102009102676,0.1841019170345856,0.24363050194339667,0.19076053964482964,0.21240602128616135,0.07686472593095271
darkgray,nature,sony,United States,18,Iceland,9,Canada,9,Germany,7,Italy,5,0.08207470661182734,0.36656961660900406,0.22345682108357096,0.20085564744715,0.12704320824844767,0.09195488016807817
darkgray,flower,canon,United States,10,Germany,4,Russia,2,Italy,2,Netherlands,2,0.06999970757602882,0.17619979162937066,0.28296491960818426,0.07801369278917229,0.392821888397244,0.059898423330503395
darkgray,flower,nikon,United States,10,United Kingdom,3,Romania,2,Germany,1,Ukraine,1,0.05092892149733929,0.08594255502676006,0.4261946588461551,0.0320489387258982,0.40488492590384734,0.08232791887453321
darkgray,flower,sony,United States,3,Romania,1,Belgium,1,Argentina,1,Iceland,1,0.012587680486981702,0.175565017318429,0.41696691613126885,0.35740021382680187,0.037480172236518554,0.09992799201735524
darkgray,mountain,canon,Italy,28,United States,11,Switzerland,9,Canada,9,Austria,5,0.41832981287463755,0.029492314450640822,0.23489889784156037,0.13139321911228832,0.185885755720873,0.15638512660169493
darkgray,mountain,nikon,United States,8,Italy,6,New Zealand,3,France,2,Switzerland,2,0.05668793155053976,0.23691714383417756,0.4526809712545892,0.11575403831167579,0.1379599150490177,0.059171283943035266
darkgray,mountain,sony,Iceland,5,Germany,4,Italy,4,Switzerland,3,United States,3,0.3592339614447352,0.20246009014405128,0.17928124804812018,0.23489502295284315,0.024129677410250135,0.052129235456989324
darkgray,sea,canon,United States,14,New Zealand,11,Australia,5,France,5,South Africa,4,0.030664715510948296,0.5130668440240616,0.07659755602598627,0.08945125549610039,0.2902196289429035,0.1914259065036752
darkgray,sea,nikon,United States,14,Australia,5,United Kingdom,4,Greece,3,Russia,2,0.056114348214703416,0.1401683289611098,0.09018377391648763,0.5515084635662129,0.16202508534148624,0.10460820006143258
darkgray,sea,sony,United States,9,Australia,3,Norway,2,United Kingdom,2,Slovenia,1,0.04494776963718845,0.10479025472599655,0.31763090543613176,0.05618471204648557,0.47644635815419767,0.0839548866633468
darkgray,sky,canon,United States,13,Italy,5,Switzerland,3,France,3,Canada,2,0.12326940800158202,0.2641962060422116,0.2769207580066937,0.23234789627273955,0.10326573167677314,0.04421805735086025
darkgray,sky,nikon,United States,12,Brazil,2,Argentina,2,Thailand,1,Spain,1,0.038241660710579134,0.12774000111306896,0.5428950047305431,0.23031909291598798,0.06080424052982083,0.13156977096155786
darkgray,sky,sony,United States,4,Austria,2,Finland,1,Australia,1,France,1,0.025756004379770048,0.178569972226022,0.6980462550653587,0.04503524226228121,0.05259252606656812,0.06511681013214447
darkgray,forest,canon,United States,19,Italy,12,Austria,4,Germany,4,Costa Rica,2,0.05081612251161311,0.1788437563062429,0.1483432707346356,0.0673220120484362,0.5546748383990723,0.15677026560301222
darkgray,forest,nikon,United States,8,Canada,3,United Kingdom,3,New Zealand,2,Germany,1,0.08879735051996043,0.1813199323545425,0.18730691125304155,0.4727269664957715,0.06984883937668392,0.037774749745110185
darkgray,forest,sony,United States,5,Germany,3,Switzerland,2,United Kingdom,1,Italy,1,0.09166668164961632,0.3461082359910315,0.3569388338519754,0.10312501685581835,0.10216123165155835,0.022870207811313138
